Name|Result|Span|Owner|Regularity|Linkage|Read Only|Hidden|File Size|Date Created|Date Modified|Date Accessed|File Path|File Type
CCN|3232-5656-3757-0974|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
SSN|161-23-4923|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
PHONE_US|(503) 555-7555|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
SSN|421-55-3412|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
PHONE_US|(503) 555-6874|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
PHONE_US|(503) 555-2376|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
SSN|225-34-6344|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
PHONE_US|(509) 555-7969|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
PHONE_US|(509) 555-6221|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
SSN|834-65-1254|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
PHONE_US|(985) 555-9375|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
SSN|342-99-2934|null|POX6022\iridemo|true|false|false|false|7924|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|2018-05-03T17:35:46.9446Z|C:\git\workbench-demos\Dark_Data_Discovery\data\0415XML.xml|xml
