28947	SMITH	SOUTH CAROLINA	7649301846
59387	JONES	FLORIDA	3214529856
78308	DAVIS	NORTH CAROLINA	8545632894
51357	EDWARDS	GEORGIA	9214523685
12548	FRANKS	TEXAS	1563587463
96321	BOLT	CALIFORNIA	8932146254
83315	SHERWOOD	LOUISIANA	4561385452
20568	HEINZ	OREGON	3795820854
12409	REID	OHIO	8514532145
45205	OLSEN	NEW YORK	7851236954
83912	ADAMS	RHODE ISLAND	8542698512
91455	THOMAS	NEW JERSEY	6931549363
89641	NEVINS	SOUTH DAKOTA	1256983314
37590	MILLER	VIRGINIA	6546658662
58970	WATERS	ARKANSAS	4719348575
48579	RODGERS	OKLAHOMA	8759030736
59575	PETERS	MISSOURI	3651425695
96258	GRANT	MAINE	9456325585
86785	FISCHER	NEVADA	6932558696
12369	WHITE	IOWA	6932861435
