542323343	2001-01-13 00:00:00.0	2006-07-24 00:00:00.0	IT_PROG	60
526476627	1997-09-21 00:00:00.0	2001-10-27 00:00:00.0	AC_ACCOUNT	110
526476627	2001-10-28 00:00:00.0	2005-03-15 00:00:00.0	AC_MGR	110
696003048	2004-02-17 00:00:00.0	2007-12-19 00:00:00.0	MK_REP	20
223670049	2006-03-24 00:00:00.0	2007-12-31 00:00:00.0	ST_CLERK	50
767169700	2007-01-01 00:00:00.0	2007-12-31 00:00:00.0	ST_CLERK	50
428866769	1995-09-17 00:00:00.0	2001-06-17 00:00:00.0	AD_ASST	90
436921580	2006-03-24 00:00:00.0	2006-12-31 00:00:00.0	SA_REP	80
436921580	2007-01-01 00:00:00.0	2007-12-31 00:00:00.0	SA_MAN	80
428866769	2002-07-01 00:00:00.0	2006-12-31 00:00:00.0	AC_ACCOUNT	90
