EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING@charter.edu,3326487592,2003-06-17,AD_PRES,24000.00,0.00,0,90
101,Neena,Kochhar,NKOCHHAR@att.net,2085735696,2005-09-21,AD_VP,17000.00,0.00,100,90
102,Lex,De Haan,LDEHAAN@att.edu,6974579589,2001-01-13,AD_VP,17000.00,0.00,100,90
103,Alexander,Hunold,AHUNOLD@comcast.gov,2224131710,2006-01-03,IT_PROG,9000.00,0.00,102,60
104,Bruce,Ernst,BERNST@msn.org,4514295704,2007-05-21,IT_PROG,6000.00,0.00,103,60
105,David,Austin,DAUSTIN@comcast.com,6185807366,2005-06-25,IT_PROG,4800.00,0.00,103,60
106,Valli,Pataballa,VPATABAL@charter.com,6395990499,2006-02-05,IT_PROG,4800.00,0.00,103,60
107,Diana,Lorentz,DLORENTZ@gmail.com,2276132562,2007-02-07,IT_PROG,4200.00,0.00,103,60
108,Nancy,Greenberg,NGREENBE@gmail.edu,2716758465,2002-08-17,FI_MGR,12008.00,0.00,101,100
109,Daniel,Faviet,DFAVIET@msn.net,3152192287,2002-08-16,FI_ACCOUNT,9000.00,0.00,108,100
110,John,Chen,JCHEN@msn.gov,2890148037,2005-09-28,FI_ACCOUNT,8200.00,0.00,108,100
111,Ismael,Sciarra,ISCIARRA@msn.edu,1937334805,2005-09-30,FI_ACCOUNT,7700.00,0.00,108,100
112,Jose Manuel,Urman,JMURMAN@aol.gov,5338545575,2006-03-07,FI_ACCOUNT,7800.00,0.00,108,100
113,Luis,Popp,LPOPP@yahoo.net,6527986031,2007-12-07,FI_ACCOUNT,6900.00,0.00,108,100
114,Den,Raphaely,DRAPHEAL@verizon.com,7831352936,2002-12-07,PU_MAN,11000.00,0.00,100,30
