10101	661272028	Steven	King	SKING@yahoo.com	515.123.4567	2003-06-17 00:00:00.0	AD_PRES	24000.00	0.00	661272028	90
10102	526476627	Neena	Kochhar	NKOCHHAR@yahoo.gov	515.123.4568	2005-09-21 00:00:00.0	AD_VP	17000.00	0.00	661272028	90
10103	542323343	Lex	De Haan	LDEHAAN@gmail.org	515.123.4569	2001-01-13 00:00:00.0	AD_VP	17000.00	0.00	661272028	90
10104	491928244	Alexander	Hunold	AHUNOLD@aol.com	590.423.4567	2006-01-03 00:00:00.0	IT_PROG	9000.00	0.00	542323343	60
10105	805452976	Bruce	Ernst	BERNST@aol.org	590.423.4568	2007-05-21 00:00:00.0	IT_PROG	6000.00	0.00	491928244	60
10106	497821851	David	Austin	DAUSTIN@outlook.com	590.423.4569	2005-06-25 00:00:00.0	IT_PROG	4800.00	0.00	491928244	60
10107	365889675	Valli	Pataballa	VPATABAL@charter.gov	590.423.4560	2006-02-05 00:00:00.0	IT_PROG	4800.00	0.00	491928244	60
10108	238835883	Diana	Lorentz	DLORENTZ@aol.org	590.423.5567	2007-02-07 00:00:00.0	IT_PROG	4200.00	0.00	491928244	60
10109	676071097	Nancy	Greenberg	NGREENBE@att.gov	515.124.4569	2002-08-17 00:00:00.0	FI_MGR	12008.00	0.00	526476627	100
10110	490127475	Daniel	Faviet	DFAVIET@msn.org	515.124.4169	2002-08-16 00:00:00.0	FI_ACCOUNT	9000.00	0.00	676071097	100
10111	326663086	John	Chen	JCHEN@gmail.com	515.124.4269	2005-09-28 00:00:00.0	FI_ACCOUNT	8200.00	0.00	676071097	100
10112	371432101	Ismael	Sciarra	ISCIARRA@yahoo.edu	515.124.4369	2005-09-30 00:00:00.0	FI_ACCOUNT	7700.00	0.00	676071097	100
10113	134432757	Jose Manuel	Urman	JMURMAN@mail.org	515.124.4469	2006-03-07 00:00:00.0	FI_ACCOUNT	7800.00	0.00	676071097	100
10114	273143440	Luis	Popp	LPOPP@outlook.net	515.124.4567	2007-12-07 00:00:00.0	FI_ACCOUNT	6900.00	0.00	676071097	100
